1000 10000
233 242 0.25
163 219 0.08
515 270 0.21
665 189 0.14
633 369 0.63
580 296 0.62
510 369 0.31
738 716 0.76
443 424 0.03
159 316 0.37
971 874 0.98
718 37 0.28
996 399 0.07
669 511 0.30
48 503 0.75
858 424 0.78
537 149 0.17
96 483 0.63
439 589 0.79
632 277 0.76
635 694 0.80
778 169 0.94
618 296 0.69
161 185 0.13
0 249 0.82
955 531 0.95
377 795 0.67
110 119 0.19
682 924 0.81
845 448 0.71
955 640 0.48
225 931 0.28
446 21 0.84
582 929 0.50
471 674 0.55
165 499 0.85
192 575 0.22
545 125 0.67
48 563 0.31
360 869 0.63
431 272 0.25
470 510 0.53
337 587 0.91
691 644 0.34
928 210 0.81
838 565 0.80
393 329 0.34
969 810 0.29
123 454 0.68
0 549 0.20
294 955 0.39
706 91 0.92
796 473 0.63
852 625 0.45
195 962 0.90
490 990 0.67
821 954 0.59
731 564 0.09
877 226 0.82
715 24 0.02
257 640 0.07
865 619 0.23
791 839 0.08
174 831 0.82
348 758 0.98
349 171 0.67
891 680 0.08
247 524 0.49
507 675 0.53
348 869 0.81
956 100 0.98
443 923 0.15
173 270 0.98
908 199 0.22
35 373 0.52
73 138 0.97
988 437 0.52
121 150 0.57
214 949 0.38
620 200 0.42
268 245 0.33
128 544 0.10
435 604 0.39
22 460 0.60
723 177 0.20
249 826 0.48
837 89 0.30
106 213 0.79
16 245 0.34
275 928 0.68
789 294 0.53
794 396 0.29
188 915 0.20
707 613 0.53
64 737 0.82
942 252 0.69
429 471 0.09
159 242 0.98
15 930 0.08
179 720 0.24
988 74 0.05
785 583 0.90
824 839 1.00
116 189 0.90
997 788 0.30
63 918 0.38
393 638 0.84
266 244 0.11
999 330 0.25
858 618 0.37
452 159 0.64
695 77 0.94
417 352 0.80
229 459 0.59
362 684 0.48
245 881 0.06
780 604 0.04
94 858 0.32
975 515 0.28
7 877 0.76
393 937 0.37
638 843 0.72
587 983 0.92
803 658 0.29
440 396 0.50
996 129 0.55
116 625 0.44
358 914 0.87
547 614 0.42
787 471 0.54
811 429 0.85
886 611 0.42
523 497 0.84
372 953 0.32
962 51 0.32
359 929 0.34
431 308 0.43
17 672 0.83
207 733 0.21
317 429 0.55
414 717 0.33
921 875 0.95
938 971 0.72
333 899 0.18
36 634 0.50
91 753 0.69
476 609 0.68
517 501 0.82
286 998 0.11
514 669 0.91
218 756 0.10
403 922 0.42
482 161 0.31
619 928 0.78
156 674 0.31
726 644 0.73
199 764 0.54
737 701 0.19
809 88 0.98
60 70 0.87
978 577 0.56
558 957 0.49
562 256 0.04
128 750 0.84
112 317 0.64
616 765 0.81
248 333 0.46
374 669 0.94
418 635 0.88
120 903 0.97
83 125 0.74
10 544 0.39
339 340 0.36
374 959 0.68
488 634 0.86
242 569 0.43
205 643 0.62
375 759 0.97
671 954 0.15
46 333 0.95
124 565 0.74
617 876 0.55
174 497 0.35
840 205 0.57
167 856 0.37
349 533 0.66
993 945 0.98
171 285 0.69
417 253 0.02
155 801 0.16
508 41 0.92
860 310 0.54
896 77 0.61
751 223 0.73
20 61 0.40
185 250 0.94
717 411 0.01
993 659 0.68
128 487 0.78
190 357 0.87
52 334 0.23
750 285 0.06
510 762 0.37
521 449 0.87
830 341 0.26
725 609 0.36
318 393 0.66
264 886 0.89
267 637 0.63
217 826 0.16
203 891 0.09
276 901 0.25
831 117 0.63
18 332 0.60
381 744 0.47
886 591 0.27
523 541 0.35
82 839 0.40
104 275 0.27
892 212 0.07
161 316 0.23
990 697 0.37
246 345 0.49
843 905 0.64
41 407 0.79
611 437 0.05
829 342 0.45
31 756 0.83
621 20 0.98
839 93 0.87
47 126 0.98
925 596 0.08
454 20 0.14
112 123 0.52
529 420 0.42
639 321 0.95
622 625 0.61
165 848 0.39
149 571 0.68
546 929 0.95
487 37 0.86
623 905 0.82
572 141 0.77
519 918 0.23
296 912 0.07
390 590 0.31
16 31 0.74
415 425 0.87
456 342 0.27
331 662 0.28
25 487 0.67
107 367 0.42
931 967 0.11
71 712 0.76
664 714 0.21
383 714 0.08
610 282 0.77
168 505 0.57
900 970 0.06
442 248 0.39
885 148 0.13
211 445 0.43
757 330 0.85
465 442 0.53
68 225 0.19
395 403 0.28
803 110 0.06
663 746 0.43
345 653 0.44
841 816 0.56
197 916 0.94
163 796 0.03
220 347 0.36
129 156 0.14
319 129 0.62
581 830 0.13
881 604 0.80
185 165 0.70
419 631 0.54
422 650 0.86
850 849 0.86
177 569 0.46
314 498 0.95
775 291 0.01
686 650 0.22
674 82 0.74
930 200 0.88
548 623 0.20
53 23 0.93
91 204 0.74
823 567 0.84
733 693 0.82
911 355 0.09
113 788 0.90
207 966 0.22
212 936 0.28
265 63 0.86
857 437 0.46
204 52 0.26
367 984 0.35
170 100 0.86
208 959 0.00
445 830 0.89
872 86 0.07
375 61 0.64
765 757 0.54
492 383 0.00
769 616 0.39
27 386 0.35
669 975 0.68
137 198 0.85
545 193 0.70
948 58 0.35
198 425 0.11
968 728 0.05
169 181 0.86
282 636 0.85
389 952 0.63
283 173 0.75
191 492 0.71
484 634 0.38
854 164 0.48
985 59 0.13
679 267 0.92
478 88 0.10
781 503 0.33
527 247 0.07
74 333 0.72
956 867 0.98
630 334 0.06
28 270 0.80
800 223 0.86
13 222 0.92
32 841 0.57
627 776 0.85
994 29 0.64
813 567 0.93
300 654 0.92
580 966 0.03
465 841 0.05
32 952 0.92
862 28 0.57
516 154 0.38
376 331 0.59
212 177 0.97
583 354 0.69
306 138 0.62
73 237 0.43
328 430 0.66
843 497 0.42
904 587 0.53
745 675 0.72
780 486 0.59
253 908 0.31
111 530 0.55
303 568 1.00
253 893 0.50
770 63 0.01
405 8 0.30
392 937 0.76
27 522 0.64
448 613 0.18
884 48 0.50
168 612 0.87
11 30 0.95
690 729 0.89
139 37 0.42
125 404 0.98
146 891 0.39
399 607 0.72
236 787 0.54
73 297 0.36
25 142 0.57
888 162 0.56
941 488 0.04
983 813 0.23
140 585 0.50
361 230 0.09
695 153 0.81
163 824 0.25
989 508 0.84
572 580 0.42
936 760 0.15
115 19 0.46
354 873 0.29
718 85 0.82
298 864 0.63
732 305 0.61
309 96 0.97
721 32 0.55
637 140 0.93
158 287 0.87
877 669 0.45
593 110 0.52
955 643 0.37
80 71 0.53
902 142 0.47
460 35 0.27
65 949 0.14
669 177 1.00
808 843 0.82
476 969 0.72
262 632 0.11
123 104 0.94
17 699 0.61
199 215 0.00
75 461 0.51
4 967 0.50
873 552 0.02
268 588 0.61
434 420 0.48
472 207 0.80
786 145 0.96
623 412 0.60
610 973 0.53
844 415 0.72
709 791 0.62
302 407 0.26
514 775 0.18
877 225 0.10
443 591 0.75
832 494 0.85
868 484 0.94
196 781 0.25
198 183 0.95
190 603 0.37
322 627 0.16
93 308 0.00
494 813 0.19
26 383 0.71
486 845 0.22
857 879 0.86
141 158 0.74
89 661 0.40
126 420 0.83
127 117 0.74
292 30 0.12
350 300 0.19
580 841 0.38
838 1 0.97
456 287 0.25
93 214 0.27
519 990 0.38
352 464 0.07
560 661 0.06
351 642 0.68
653 148 0.08
430 247 0.03
947 395 0.48
896 695 0.69
738 284 0.25
956 331 0.06
859 560 0.01
917 336 0.37
367 265 0.63
358 452 0.97
641 278 0.68
861 499 0.68
724 957 0.36
280 41 0.37
305 426 0.90
513 205 0.96
676 655 0.58
57 313 0.58
262 24 0.65
985 917 0.60
34 91 0.76
181 152 0.29
910 583 0.74
34 970 0.66
497 236 0.40
629 651 0.14
727 18 0.83
397 993 0.61
968 931 0.65
539 792 0.20
722 622 0.63
685 634 0.52
548 822 1.00
789 556 0.89
886 608 0.95
151 583 0.36
82 864 0.74
748 513 0.98
565 85 0.91
514 969 0.72
90 375 0.87
199 187 0.17
860 663 0.27
347 588 0.25
919 578 0.78
578 448 0.29
523 577 0.51
998 813 0.26
32 36 0.37
433 695 0.33
91 579 0.68
277 782 0.56
424 334 0.87
222 507 0.57
947 954 0.66
568 453 0.92
152 876 0.60
429 596 0.40
502 138 0.00
329 320 0.42
240 101 0.99
939 703 0.61
658 221 0.70
640 880 0.59
161 851 0.49
3 16 0.38
727 985 0.32
504 841 0.76
748 84 0.51
625 487 0.43
878 947 0.19
678 363 0.01
349 63 0.78
649 631 0.66
743 339 0.95
174 58 0.35
946 51 0.71
272 78 0.43
115 542 0.02
6 659 0.23
667 887 0.67
80 939 0.89
316 287 0.77
88 422 0.57
70 266 0.68
548 33 0.50
159 64 0.75
552 420 0.16
6 957 0.63
903 321 0.55
542 515 0.45
353 887 0.25
874 51 0.28
106 89 0.39
738 514 0.58
850 72 0.91
300 41 0.89
233 90 0.90
894 385 0.01
219 155 0.79
71 922 0.83
788 374 0.08
182 13 0.32
512 368 0.97
901 578 0.29
524 495 0.34
780 577 0.48
68 819 1.00
324 325 0.28
16 670 0.95
437 98 0.29
241 417 0.08
812 434 0.98
355 681 0.66
302 928 0.88
85 528 0.97
30 499 0.57
626 852 0.51
146 756 0.05
976 171 0.83
540 548 0.91
794 980 0.45
391 582 0.91
164 784 0.20
551 228 0.06
661 420 0.55
795 670 0.32
946 734 0.08
564 337 0.79
124 216 0.93
329 800 0.96
312 978 0.21
539 661 0.17
578 437 0.20
282 758 0.86
816 610 0.00
873 599 0.46
327 106 0.83
899 637 0.35
40 572 0.68
661 646 0.46
216 285 0.03
624 682 0.14
436 482 0.22
317 33 0.32
250 4 0.13
231 415 0.93
804 565 0.18
910 185 0.62
913 107 0.43
198 255 0.35
53 648 0.80
202 242 0.12
972 466 0.26
312 526 0.16
94 60 0.95
173 435 0.02
675 945 0.17
362 508 0.47
420 28 0.28
3 12 0.33
832 244 0.80
926 770 0.67
709 658 0.27
197 462 0.50
832 99 0.41
173 341 0.08
746 681 0.29
72 952 0.60
443 51 0.68
832 914 0.22
671 891 0.93
638 490 0.30
794 82 0.78
707 687 0.02
373 431 0.52
215 412 0.79
824 913 0.61
650 565 0.62
867 777 0.29
228 537 0.09
819 938 0.47
414 498 0.52
197 770 0.45
612 999 0.11
766 104 0.10
309 361 0.29
487 974 0.67
362 741 0.71
238 304 0.15
594 440 0.50
189 884 0.10
975 597 0.11
11 288 0.23
416 464 0.57
751 242 0.40
648 667 0.73
295 104 0.58
684 201 0.41
446 236 0.44
67 217 0.06
506 603 0.42
472 551 0.44
786 633 0.07
272 931 0.08
350 584 0.25
560 342 0.28
432 729 0.62
954 690 0.52
540 703 0.90
639 851 0.42
86 49 0.82
588 147 0.18
437 649 0.05
42 59 0.17
635 232 0.61
82 808 0.06
126 973 0.75
531 21 0.89
125 646 0.11
576 762 0.09
973 600 0.27
78 772 0.04
706 117 0.14
523 649 0.11
230 799 0.39
411 915 0.29
530 167 0.51
288 198 0.17
203 469 0.77
866 271 0.82
763 253 0.04
605 658 0.85
986 916 0.56
330 976 0.05
520 96 0.86
282 799 0.46
943 102 0.27
340 9 0.03
584 871 0.16
536 714 0.61
478 379 0.73
316 114 0.46
445 338 0.77
84 22 0.94
249 81 0.34
583 204 0.14
952 634 0.07
520 862 0.43
496 662 0.52
887 634 0.10
230 347 0.95
533 696 0.94
308 845 0.74
537 573 0.95
442 443 0.27
336 842 0.90
118 684 0.26
309 905 0.11
326 857 0.80
758 892 0.63
634 326 0.17
672 599 0.83
675 280 0.43
456 450 0.20
330 487 0.22
871 132 0.25
158 817 0.62
241 813 0.59
846 322 0.90
757 301 0.43
723 501 0.12
634 536 0.16
101 265 0.67
470 598 0.37
237 697 0.27
805 743 0.69
665 44 0.51
258 618 0.97
208 449 0.13
278 617 0.79
82 422 0.35
988 902 0.60
2 615 0.09
719 790 0.48
775 96 0.69
483 598 0.36
301 985 0.29
638 962 0.18
471 489 0.07
851 631 0.89
690 907 0.13
485 285 0.37
419 739 0.46
81 384 0.44
704 787 0.93
190 290 0.45
817 532 0.61
394 303 0.28
30 459 0.58
216 665 0.54
159 749 0.93
609 938 0.13
938 288 0.47
29 17 0.73
105 411 0.98
569 4 0.64
808 844 0.59
521 361 0.41
941 828 0.80
446 490 0.46
213 485 0.33
74 573 0.45
754 139 0.89
38 208 0.26
807 919 0.89
481 533 0.42
575 395 0.02
707 259 0.14
982 411 0.82
714 749 0.93
434 421 0.33
159 912 0.07
886 807 0.01
298 308 0.01
868 278 0.80
778 634 0.81
178 862 0.68
89 73 0.86
14 8 0.53
363 358 0.30
696 223 0.66
554 5 0.76
442 795 0.66
566 868 0.42
890 12 0.95
187 690 0.98
539 153 0.83
334 519 0.09
995 843 0.68
32 965 0.83
770 847 0.21
678 332 0.06
331 627 0.90
983 652 0.83
905 898 0.59
619 2 0.78
103 173 0.30
675 308 0.56
968 266 0.36
509 246 0.32
384 331 0.52
37 527 0.51
465 368 0.05
361 423 0.38
824 841 0.36
306 608 0.49
662 141 0.52
245 605 0.75
139 64 0.60
965 308 0.47
901 988 0.04
353 564 0.27
867 942 0.28
281 279 0.34
686 374 0.64
157 380 0.49
451 67 0.10
462 321 0.77
135 293 0.31
138 27 0.68
651 122 0.22
655 530 0.26
893 35 0.44
803 263 0.27
661 173 0.79
76 451 0.78
39 201 0.33
315 609 0.09
266 423 0.56
472 624 0.51
589 187 0.94
898 672 0.47
209 311 0.76
172 957 0.03
561 986 0.69
9 159 0.66
82 575 0.09
341 850 0.50
696 703 0.55
772 764 0.61
226 530 0.05
924 983 0.12
857 492 0.31
821 73 0.17
172 739 0.22
797 240 0.45
344 328 1.00
952 7 0.57
290 626 0.78
311 796 0.83
618 974 0.41
731 741 0.96
696 12 0.26
329 613 0.32
401 144 0.37
796 63 0.41
284 203 0.46
602 378 0.06
341 406 0.68
143 640 0.06
256 812 0.72
296 265 0.45
922 581 0.23
282 804 0.62
50 264 0.03
611 121 0.50
900 412 0.52
45 515 0.49
65 333 0.31
191 773 0.33
106 627 0.52
490 722 0.21
161 850 0.12
588 671 0.90
425 837 0.78
121 86 0.29
88 137 0.11
605 508 0.94
736 629 0.02
13 455 0.78
202 256 0.12
809 376 0.13
922 57 0.41
581 260 0.45
927 296 0.87
732 912 0.49
126 163 0.91
110 804 0.38
951 438 0.18
16 68 0.27
701 683 0.97
103 209 0.20
675 464 0.36
713 101 0.56
491 627 0.49
101 496 0.36
690 271 0.02
283 879 0.88
384 198 0.95
348 143 0.33
628 455 0.93
684 305 0.74
632 2 0.55
903 209 0.02
707 976 0.21
922 330 0.43
728 533 0.01
106 489 0.62
72 89 0.84
552 707 0.24
77 216 0.98
617 995 0.14
893 86 0.05
452 268 0.29
825 750 0.43
91 452 0.61
185 143 0.88
2 559 0.28
307 668 0.86
859 987 0.50
807 283 0.74
441 102 0.09
975 993 0.37
856 835 0.28
467 994 0.34
102 599 0.06
328 528 0.97
608 456 0.33
555 339 0.34
313 156 0.02
298 968 0.01
850 653 0.48
906 139 0.37
485 422 0.45
402 922 0.80
846 993 0.16
833 454 0.45
247 108 0.66
467 704 0.46
860 709 0.64
366 266 0.54
65 237 0.77
946 686 0.27
602 60 0.31
622 59 0.95
403 365 0.93
635 188 0.06
530 320 0.87
877 23 0.82
74 708 0.70
666 896 0.17
170 307 0.25
706 385 0.79
514 716 0.33
70 792 0.03
471 827 0.93
40 859 0.19
900 481 0.31
278 437 0.72
549 966 0.96
36 751 0.35
184 602 0.17
939 666 0.98
58 914 0.84
19 648 0.78
27 917 0.19
947 292 0.45
879 801 0.57
643 63 0.85
131 979 0.33
705 490 0.23
780 508 0.73
802 644 0.56
913 805 0.33
549 137 0.67
249 775 0.32
32 747 0.03
698 964 0.43
185 751 0.35
989 67 0.18
130 184 0.61
442 134 0.17
318 781 0.33
193 856 0.53
177 115 0.22
33 931 0.53
318 924 0.82
784 308 0.11
859 744 0.61
915 682 0.99
590 872 0.03
77 363 0.54
25 176 0.31
427 772 0.14
266 138 0.39
160 665 0.32
323 951 0.29
660 350 0.47
471 87 0.60
516 794 0.81
370 326 0.48
168 680 0.93
189 770 0.02
79 402 0.79
390 27 0.70
488 133 0.78
729 969 0.96
641 127 0.02
937 960 0.51
393 918 0.20
708 177 0.91
898 761 0.83
259 893 0.19
314 496 0.60
318 472 0.75
66 273 0.10
211 872 0.43
254 654 0.82
756 724 0.68
63 108 0.66
420 671 0.44
371 543 0.93
635 890 0.42
798 864 0.49
584 684 0.98
30 654 0.27
678 778 0.11
915 68 0.51
631 238 0.02
797 184 0.95
319 724 0.53
303 307 0.11
69 769 0.39
17 366 0.90
255 554 0.09
401 207 0.84
520 259 0.60
373 699 0.73
173 867 0.82
251 339 0.00
714 601 0.88
179 494 0.09
715 224 0.45
728 341 0.69
429 522 0.99
929 578 0.79
292 262 0.61
278 337 0.26
529 501 0.88
326 45 0.67
701 47 0.11
524 552 0.34
947 147 0.89
568 732 0.89
986 695 0.31
37 167 0.09
918 272 0.85
852 28 0.46
504 130 0.70
49 281 0.07
288 643 0.82
704 27 0.77
231 70 0.59
823 258 0.33
953 812 0.24
511 470 0.79
776 519 0.02
906 602 0.71
709 407 0.67
240 618 0.52
44 314 0.78
651 482 0.56
567 142 0.29
484 384 0.80
727 452 0.59
287 871 0.33
487 527 0.87
112 771 0.95
81 852 0.01
79 449 0.77
618 117 0.14
195 220 0.84
106 289 0.63
573 763 0.46
210 259 0.65
104 770 0.08
11 254 0.33
508 252 0.28
823 887 0.71
258 909 0.28
78 314 0.79
133 815 0.68
154 714 0.36
963 80 0.11
592 646 0.94
510 673 0.31
683 337 0.03
739 761 0.69
261 139 0.16
545 272 0.57
284 316 0.59
780 665 0.13
270 379 0.80
125 982 0.55
109 305 0.20
110 122 0.34
94 671 0.30
824 345 0.09
414 939 0.09
20 358 0.09
207 932 0.04
854 373 0.79
845 334 0.88
761 883 0.29
925 470 0.04
801 232 0.84
713 804 0.54
810 118 0.64
227 24 0.02
411 961 0.68
428 801 0.98
507 888 0.96
682 76 0.73
95 17 0.07
497 258 0.12
744 797 0.90
619 667 0.55
264 253 0.70
815 360 0.87
964 770 0.35
94 219 0.73
60 351 0.12
443 577 0.15
631 16 0.88
250 61 0.69
791 832 0.87
913 50 0.75
329 315 0.97
737 662 0.49
274 748 0.88
572 337 0.40
249 108 0.81
550 312 0.32
593 859 0.21
72 610 0.59
538 323 0.08
685 496 0.25
278 974 0.10
236 572 0.52
2 4 0.25
771 219 0.48
297 576 0.58
15 830 0.40
396 268 0.50
73 489 0.93
461 882 0.11
448 579 0.87
931 110 0.91
615 166 0.92
466 859 0.08
672 850 0.23
949 606 0.97
327 798 0.70
788 348 0.66
555 571 0.46
261 444 0.37
241 554 0.64
497 896 0.98
901 620 0.45
794 732 0.14
252 174 0.23
6 19 0.80
209 165 0.13
959 395 0.59
621 600 0.90
87 220 0.32
531 656 1.00
0 216 0.90
453 786 0.98
66 345 0.96
194 130 0.73
128 316 0.49
960 885 0.31
337 650 0.73
726 364 0.71
851 880 0.01
214 48 0.79
677 696 0.41
129 646 0.92
834 965 0.35
392 112 0.39
757 763 0.98
22 726 0.59
648 769 0.89
422 156 0.94
332 282 0.22
801 357 0.33
199 74 0.74
38 76 0.53
238 916 0.18
460 438 0.63
743 649 0.38
374 212 0.11
66 797 0.99
70 829 0.79
184 464 0.44
520 426 0.63
995 904 0.69
209 771 0.22
601 1 0.51
394 919 0.14
70 844 0.51
127 309 0.71
572 390 0.16
19 510 0.37
562 684 0.42
908 896 0.82
784 766 0.11
931 609 0.13
697 903 0.94
339 906 0.05
783 625 0.70
325 163 0.59
774 872 0.49
496 735 0.79
187 334 0.33
62 642 0.50
600 229 0.72
853 765 0.04
624 219 0.50
753 569 0.30
93 56 0.81
541 848 0.99
175 598 0.89
931 812 0.98
594 910 0.08
277 162 0.27
975 63 0.60
903 306 0.91
176 827 0.77
335 781 0.35
673 726 0.80
780 142 0.05
859 655 0.97
641 368 0.73
107 674 0.45
537 391 0.83
77 326 0.81
901 942 0.28
102 923 0.43
805 702 0.47
275 671 0.91
681 992 0.81
845 833 0.01
298 516 0.04
278 534 0.60
686 403 0.38
525 559 0.59
772 812 0.65
918 614 0.12
172 892 0.93
915 988 0.01
163 579 0.70
38 605 0.63
812 428 0.96
831 144 0.87
119 386 0.79
